,Close,High,Low,Open,Volume,Date,Close_zscore,Close_minmax,SMA_5,SMA_20,EMA_5,EMA_20,Close_savgol,Return,Log_Return
2025-07-14 13:30:00+00:00,,,,,,,,,,,,,,,
2025-07-14 14:30:00+00:00,6262.41015625,6262.41015625,6245.6201171875,6248.66015625,356199197.0,2025-07-14,-1.867192277974573,0.050400591714828025,,,6262.41015625,6262.41015625,,,
2025-07-14 15:30:00+00:00,6260.580078125,6265.419921875,6259.68994140625,6262.2900390625,257623530.0,2025-07-14,-1.8761403147228828,0.047975233913076565,,,6261.800130208334,6262.2358630952385,,-0.00029223223636565265,-0.0002922749445263085
2025-07-14 16:30:00+00:00,6268.85009765625,6270.740234375,6258.18994140625,6260.5400390625,216495000.0,2025-07-14,-1.8357046427895527,0.05893528863246189,,,6264.15011935764,6262.865790196287,,0.0013209669755915865,0.001320095266297965
2025-07-14 17:30:00+00:00,6271.259765625,6271.43994140625,6265.93994140625,6268.8701171875,217774000.0,2025-07-14,-1.8239227427487554,0.06212876268572742,,,6266.52000144676,6263.665216427593,,0.0003843875561246879,0.0003843136981541532
2025-07-14 18:30:00+00:00,6268.58984375,6273.31005859375,6266.8798828125,6271.25,279306000.0,2025-07-14,-1.8369771357422873,0.058590380492564265,6266.33798828125,,6267.209948881175,6264.134228553537,,-0.0004257393210905791,-0.0004258299738058705
2025-07-14 19:30:00+00:00,6268.10986328125,6270.77978515625,6264.77978515625,6268.64990234375,399104000.0,2025-07-14,-1.8393239660847602,0.05795427411072929,6267.4779296875,,6267.509920347867,6264.512860432366,6269.236383896073,-7.656912969489227e-05,-7.657206126034929e-05
2025-07-15 13:30:00+00:00,6268.10986328125,6270.77978515625,6264.77978515625,6268.64990234375,399104000.0,,-1.8393239660847602,0.05795427411072929,6268.98388671875,,6267.709901325661,6264.85543213226,6269.541021315945,0.0,0.0
2025-07-15 14:30:00+00:00,6272.43017578125,6276.93017578125,6259.14013671875,6276.64990234375,381911301.0,2025-07-15,-1.8182001055860824,0.06367987865445635,6269.69990234375,,6269.283326144191,6265.576836289307,6268.475150012769,0.000689252836059584,0.0006890154104148445
2025-07-15 15:30:00+00:00,6263.5400390625,6274.56005859375,6261.509765625,6272.35986328125,279897000.0,2025-07-15,-1.8616677963748964,0.05189799778559845,6268.15595703125,,6267.368897116961,6265.382855601039,6266.031383167634,-0.0014173353022048918,-0.0014183406719606474
2025-07-15 16:30:00+00:00,6259.47021484375,6266.6298828125,6250.97998046875,6263.58984375,254376000.0,2025-07-15,-1.8815669122492724,0.046504359237681925,6266.33203125,,6264.7360030258915,6264.819746957488,6263.36137365241,-0.0006497642217290212,-0.0006499754099876122
2025-07-15 17:30:00+00:00,6267.10009765625,6269.6298828125,6259.39990234375,6259.41015625,261081000.0,2025-07-15,-1.8442611432447134,0.05661605641221712,6266.130078125,,6265.5240345693455,6265.036923214513,6258.447440905469,0.0012189342788797575,0.0012181919816381126
2025-07-15 18:30:00+00:00,6254.0498046875,6269.47998046875,6251.60986328125,6267.080078125,328992000.0,2025-07-15,-1.9080696219459068,0.03932082216264554,6263.31806640625,,6261.699291275398,6263.990530973845,6251.562560323811,-0.002082349534137884,-0.002084520638451348
2025-07-15 19:30:00+00:00,6243.10009765625,6258.490234375,6242.4501953125,6254.080078125,448703000.0,2025-07-15,-1.9616074352012016,0.024809443106009965,6257.45205078125,,6255.499560069016,6262.000965895979,6245.989149684971,-0.001750818649228436,-0.001752353123518711
2025-07-16 13:30:00+00:00,6243.10009765625,6258.490234375,6242.4501953125,6254.080078125,448703000.0,,-1.9616074352012016,0.024809443106009965,6253.3640625,,6251.366405931429,6260.200883206481,6242.834695740477,0.0,0.0
2025-07-16 14:30:00+00:00,6234.35009765625,6254.35009765625,6216.60986328125,6245.58984375,421441988.0,2025-07-16,-2.0043899374770047,0.013213282004789662,6248.3400390625,,6245.694303173036,6257.738903630268,6241.676186443785,-0.0014015472863049272,-0.001402530372371238
2025-07-16 15:30:00+00:00,6237.3701171875,6244.9599609375,6201.58984375,6234.1201171875,335040864.0,2025-07-16,-1.9896237669091563,0.01721564006344245,6242.39404296875,,6242.919574511191,6255.7990192071475,6242.6457582131625,0.0004844160953336729,0.00048429880373406084
2025-07-16 16:30:00+00:00,6251.8798828125,6258.1298828125,6232.93994140625,6237.35986328125,227982000.0,2025-07-16,-1.9186793005236784,0.03644507774669492,6241.96005859375,,6245.906343944961,6255.425768121943,6245.574308666613,0.0023262633693994506,0.0023235618076524454
2025-07-16 17:30:00+00:00,6254.43017578125,6255.2900390625,6248.27001953125,6251.77978515625,218364000.0,2025-07-16,-1.9062098245534487,0.039824918674801424,6244.22607421875,,6248.747621223724,6255.3309498037825,6251.557554587361,0.0004079241790555521,0.0004078410006071878
2025-07-16 18:30:00+00:00,6262.39990234375,6265.7099609375,6254.39990234375,6254.39990234375,282774000.0,2025-07-16,-1.8672424137194277,0.05038700246353578,6248.08603515625,,6253.2983815970665,6256.004183379017,6258.787837813249,0.001274253023618499,0.0012734418522529854
2025-07-16 19:30:00+00:00,6263.580078125,6268.1201171875,6260.10986328125,6262.47998046875,423372000.0,2025-07-16,-1.861472028228322,0.05195106057635179,6253.93203125,6258.735522460937,6256.725613773046,6256.725697164349,6266.682098175283,0.00018845423474278533,0.00018843647947415777
2025-07-17 13:30:00+00:00,6263.580078125,6268.1201171875,6260.10986328125,6262.47998046875,423372000.0,,-1.861472028228322,0.05195106057635179,6259.1740234375,6258.794018554688,6259.010435223698,6257.378495351078,6273.851888020854,0.0,0.0
2025-07-17 14:30:00+00:00,6287.81005859375,6288.259765625,6271.93017578125,6275.72998046875,382945088.0,2025-07-17,-1.7430012631372407,0.08406246137578854,6266.36005859375,6260.155517578125,6268.610309680382,6260.276739469427,6280.351652416615,0.003868391585408304,0.0038609285989902008
2025-07-17 15:30:00+00:00,6289.6298828125,6296.1201171875,6286.93994140625,6287.75,307290736.0,2025-07-17,-1.7341033621337856,0.08647422992624954,6273.4,6261.194506835937,6275.616834057755,6263.072276930673,6287.278100642868,0.00028942099105910835,0.00028937911688339097
2025-07-17 16:30:00+00:00,6291.259765625,6291.72998046875,6286.330078125,6289.68994140625,248747000.0,2025-07-17,-1.7261341661183485,0.0886342737742325,6279.17197265625,6262.194506835937,6280.83114458017,6265.756799663466,6293.071413124657,0.00025913811191879965,0.00025910454143774405
2025-07-17 17:30:00+00:00,6299.89990234375,6299.9599609375,6291.16015625,6291.31982421875,262492000.0,2025-07-17,-1.6838888325374148,0.10008483575448501,6286.4359375,6263.760009765625,6287.187397168031,6269.008523728255,6298.24409965037,0.0013733555822887933,0.0013724133920539165
2025-07-17 18:30:00+00:00,6300.39013671875,6304.68994140625,6297.41015625,6299.81005859375,305694000.0,2025-07-17,-1.6814918664500873,0.10073453138761046,6293.79794921875,6265.3740234375,6291.588310351604,6271.997248774968,6300.316847865697,7.781621654290305e-05,7.781318901818384e-05
2025-07-17 19:30:00+00:00,6299.02001953125,6303.5400390625,6296.85986328125,6300.5,459370000.0,2025-07-17,-1.6881909569292115,0.09891874857231997,6296.03994140625,6266.91953125,6294.0655467448205,6274.5708459898515,6298.451504224962,-0.00021746545178447096,-0.00021748910082445912
